x [um],y [um],Vmem [mV]
6.682105229861348050e+01,1.663963604424040810e+01,-4.335851169867002852e+01
8.494637457959717608e+01,1.605470792227242427e+01,-4.336303494582857354e+01
1.018573322761801876e+02,1.679150068951226515e+01,-4.335585013362299378e+01
5.065700583769645249e+01,2.429762127700793073e+01,-4.336273024617706540e+01
6.761476262156277528e+01,2.341316492874424071e+01,-4.336409851806381255e+01
8.513720858295779692e+01,2.342840625360588547e+01,-4.336775322138169741e+01
1.019161621845423298e+02,2.392970450222340872e+01,-4.335798406331687005e+01
3.443395125464804352e+01,3.519770083710881892e+01,-4.336158646915757942e+01
5.089291201510567220e+01,3.309512408840252107e+01,-4.336602275424053943e+01
6.777305677674863205e+01,3.275883677993162024e+01,-4.336786445935400280e+01
8.469719552553124231e+01,3.290266067860773802e+01,-4.337072903944496716e+01
1.018089869120431956e+02,3.337200183516362273e+01,-4.335529707634135832e+01
3.432494021269459239e+01,4.363111179283308161e+01,-4.336486970487420933e+01
5.068968460226865602e+01,4.262687109657755258e+01,-4.336752521124794413e+01
6.746816064927303103e+01,4.224716867673340914e+01,-4.336981012220408616e+01
8.466945162483069964e+01,4.232852339236139017e+01,-4.337042021237508038e+01
1.020757294758796547e+02,4.269217064575833831e+01,-4.334090785398792889e+01
1.892351116603597205e+01,5.413898200189923671e+01,-4.335886132727088693e+01
3.348991682397861069e+01,5.223417686648575398e+01,-4.336623280940224845e+01
5.083194159156803948e+01,5.237365594693191184e+01,-4.336863042066383400e+01
6.747919066900387008e+01,5.174455500957406429e+01,-4.337275304048607438e+01
8.476362077464597178e+01,5.167373986798401830e+01,-4.336900506525086740e+01
1.021661359183494540e+02,5.203958238955785731e+01,-4.330277186190121341e+01
1.365443292334086038e+02,5.161823209232048981e+01,-4.339668531081756697e+01
1.702637255210505529e+01,6.251981684122786476e+01,-4.336097881082583427e+01
3.364001623340146807e+01,6.150196437105918790e+01,-4.336872831545937146e+01
5.085184499624494947e+01,6.175065087672736297e+01,-4.337159699873523522e+01
6.778656198547544420e+01,6.150932830586801714e+01,-4.337380239178438046e+01
8.464798729068903071e+01,6.104999064992735924e+01,-4.335920749302144372e+01
1.021517851673985433e+02,6.138472392386426435e+01,-4.322092654457456717e+01
1.192726210732057268e+02,6.112926624129148223e+01,-4.313309755953800106e+01
1.365118569865990708e+02,6.088632294329670458e+01,-4.317664813554802095e+01
1.507212196120388796e+02,6.074744484605999162e+01,-4.329728364488403258e+01
1.664254008905086479e+01,7.156854461813298940e+01,-4.336252562037930147e+01
3.349860235086666194e+01,7.051487179362389668e+01,-4.336874698869552702e+01
