x [um],y [um],Vmem [mV]
6.784287443415455243e+01,9.925728237920472452e+01,-4.354221419903881696e+01
8.482473411496050630e+01,9.901193793800233323e+01,-4.296745950275940373e+01
1.018593795596894296e+02,9.931574977363681000e+01,-4.011043392901046900e+01
1.188439378481806159e+02,9.888897165973752124e+01,-3.311062605241672685e+01
1.361334292810781790e+02,9.862922129543065353e+01,-3.965233957009401422e+01
1.528238378849287358e+02,9.921581265993789600e+01,-4.235753100156691886e+01
1.711567005134352826e+01,1.082634073129491270e+02,-4.370736073809341349e+01
3.326882157866779011e+01,1.084581684768118066e+02,-4.370963442885958017e+01
5.055597666226658049e+01,1.085743811587376229e+02,-4.368210235741418046e+01
6.793248595281005464e+01,1.086142508845800734e+02,-4.355798453087187738e+01
8.493244208700484421e+01,1.085690458135680103e+02,-4.306400131298417477e+01
1.019641896135594124e+02,1.086967606226176457e+02,-4.098247429419492960e+01
1.191343409813967327e+02,1.083575320078325461e+02,-3.564594121623823497e+01
1.360276672657367669e+02,1.079510636256118090e+02,-4.066560061674076820e+01
1.520149337578651796e+02,1.089658558034390552e+02,-4.251181789119782195e+01
1.881824381610392649e+01,1.170511314663085187e+02,-4.370125003921155837e+01
3.301231024345440801e+01,1.182016402963535029e+02,-4.370833254860720274e+01
5.066744563161068982e+01,1.178171644733400427e+02,-4.368687810800467730e+01
6.782190514205888121e+01,1.180219498096101063e+02,-4.359157906598122167e+01
8.500913516383317869e+01,1.179824567398121928e+02,-4.324632529363864109e+01
1.021539942312968634e+02,1.181514061946265599e+02,-4.221128287094105502e+01
1.192528964877933930e+02,1.176405445073379354e+02,-4.081939424262633054e+01
1.366967195752441455e+02,1.178224198082660905e+02,-4.205674788922980412e+01
1.501483294001667161e+02,1.175732542186461131e+02,-4.270605330312388759e+01
3.427821963658053761e+01,1.272070721603376882e+02,-4.370508329143907389e+01
5.078907442729270372e+01,1.273289295509543990e+02,-4.369218694309643070e+01
6.783686459532825097e+01,1.275049372721211256e+02,-4.362685894981407131e+01
8.500371302943466389e+01,1.273660788544879807e+02,-4.342027979381385450e+01
1.023308847758043783e+02,1.275500735308519893e+02,-4.295020353260000689e+01
1.192576687850833679e+02,1.271162181533374991e+02,-4.249814592100673849e+01
1.355496591366998587e+02,1.265887824967924473e+02,-4.271703381642261377e+01
3.456217894137245850e+01,1.365278482386344763e+02,-4.370109321901229293e+01
5.063397675312851476e+01,1.368609813748709030e+02,-4.369552332686188834e+01
6.782751784139156825e+01,1.370366510509661850e+02,-4.365499311185736531e+01
8.517556815640702439e+01,1.367991322739473503e+02,-4.353893574527981514e+01
1.024214182845711036e+02,1.370366331646878848e+02,-4.332460241948387392e+01
1.192944809620693718e+02,1.368573899612417222e+02,-4.312785851865463371e+01
1.355269162511308423e+02,1.356434990692617646e+02,-4.307285204421875591e+01
5.069352712348840839e+01,1.457413079353422916e+02,-4.369384416151223149e+01
6.771369767528867101e+01,1.464385502761458611e+02,-4.367043690850724147e+01
8.484856200746257571e+01,1.463410579589431961e+02,-4.360908500923950726e+01
1.024343118015648599e+02,1.467489416831532765e+02,-4.349715139519825158e+01
1.185078181583397452e+02,1.456187195683629341e+02,-4.335335390631349384e+01
6.774666967019824426e+01,1.551988383053713960e+02,-4.367166829438968989e+01
8.543471107643927098e+01,1.557242375034446979e+02,-4.363384700839991837e+01
1.011767019184534178e+02,1.554661520966266721e+02,-4.356773744095192313e+01
5.858073697939220636e+01,2.020973228208064043e+01,-4.370051149200856599e+01
7.615741741679180166e+01,1.846297404513854090e+01,-4.369525112860397087e+01
9.367046335939402013e+01,1.825957236522042848e+01,-4.368071068107077082e+01
1.110040637783494901e+02,2.104953361116172772e+01,-4.365821156975434292e+01
4.298644215999939178e+01,2.957581245104966428e+01,-4.370545250183770492e+01
5.921076413521736015e+01,2.858315794863280246e+01,-4.370501013529579382e+01
7.635122396570392311e+01,2.780200002945238680e+01,-4.369500984928231446e+01
9.335831218685549970e+01,2.818406079716557855e+01,-4.367243510169198828e+01
2.728790258338452546e+01,4.072855941443399530e+01,-4.369931031427129398e+01
4.238560785892139648e+01,3.815697581656841919e+01,-4.370898334154774290e+01
5.914126419617844022e+01,3.783493577495447369e+01,-4.370474401284305088e+01
7.608139639607550464e+01,3.745015277855995350e+01,-4.368419440863088710e+01
9.326889734531543752e+01,3.784980905243349270e+01,-4.363936761227839867e+01
2.468143628950427271e+01,4.798302819419665610e+01,-4.370551819469448418e+01
4.256751541094452307e+01,4.771666148790324513e+01,-4.371043623573167025e+01
5.896069529743422777e+01,4.734107931854078544e+01,-4.369919127154792449e+01
7.604378862713119247e+01,4.692920496290064136e+01,-4.365934112976720627e+01
9.347146659890125875e+01,4.721738046618623486e+01,-4.356706142061685938e+01
1.435179120612517920e+02,4.769882204309382701e+01,-4.337658881779112363e+01
2.548208922243913577e+01,5.738933824163331821e+01,-4.370891868367117894e+01
4.217640705067375961e+01,5.689427694540677294e+01,-4.371001335011561650e+01
5.933717086901649651e+01,5.701497762078836473e+01,-4.368751809826904520e+01
7.604284998205798729e+01,5.639418967362759361e+01,-4.361683289896073035e+01
9.346266197334244907e+01,5.655611020097511243e+01,-4.343111337425209229e+01
1.278606151170731806e+02,5.647066783651312250e+01,-4.303898059974778789e+01
1.451359755788372752e+02,5.538848434125036135e+01,-4.322958488513497599e+01
2.463656862161908023e+01,6.637561077873105830e+01,-4.371145552962365599e+01
4.221208467494427197e+01,6.609780288556859773e+01,-4.370786492695170011e+01
5.934713424738479404e+01,6.658621220652342743e+01,-4.367216336644283814e+01
