time_s,Vmem_mV,Goldman_Vmem_mV,NaK-ATPase_Rate_mol/m2s,cell_sodium_mmol/L,cell_potassium_mmol/L,cell_proteins_mmol/L,cell_anion_mmol/L,Dm_sodium_m2/s,Dm_potassium_m2/s,Dm_proteins_m2/s,Dm_anion_m2/s,I_A/m2,HydroP_Pa,OsmoP_Pa,Displacement_um
1.002004008016031955e+00,-4.536764461041267538e+01,0.000000000000000000e+00,1.119206112996898307e-07,1.197159473485447378e+01,1.390156135232502095e+02,1.350000000000000000e+02,1.600328481447619922e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.594198950071602953e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.004008016032063910e+00,-4.552609832075708596e+01,0.000000000000000000e+00,1.116081109897524447e-07,1.194942539822149818e+01,1.390395272240486122e+02,1.350000000000000000e+02,1.600508532857025301e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.313715334479313254e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.006012024048096087e+00,-4.549993035712451928e+01,0.000000000000000000e+00,1.112984175578368663e-07,1.192748422319739454e+01,1.390632766542847776e+02,1.350000000000000000e+02,1.600688431085782071e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.872024530581722054e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.008016032064127820e+00,-4.547330434568456070e+01,0.000000000000000000e+00,1.109910178116191216e-07,1.190574218386859329e+01,1.390868311569101934e+02,1.350000000000000000e+02,1.600868733891536166e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.382568861263363074e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
