x [um],y [um],Vmem [mV]
6.917739070370774357e+01,1.622583896245848933e+01,-3.508046084986279567e+01
8.461243531969552123e+01,1.497577740962555914e+01,-3.508300731827339547e+01
1.020676991871004162e+02,1.584317859377547322e+01,-3.509674548788535731e+01
5.134558447485542132e+01,2.478396407854150496e+01,-3.506512943090152135e+01
6.811499972904363176e+01,2.350128037708361006e+01,-3.507224356620003647e+01
8.472605077259932216e+01,2.350181759190728314e+01,-3.508684097225913945e+01
1.020571886498401852e+02,2.418487363073122509e+01,-3.510163398585861927e+01
3.517851749591423527e+01,3.445750393729391448e+01,-3.506658738276445320e+01
5.018525535117085923e+01,3.307944284157636616e+01,-3.506164165422659096e+01
6.766863807957483345e+01,3.275554371890147110e+01,-3.507384564859349751e+01
8.495271893764605409e+01,3.276174626007183122e+01,-3.510474164297290400e+01
1.021235792835748839e+02,3.345973311080286550e+01,-3.513434748005003883e+01
3.315758150280594663e+01,4.286579953719629543e+01,-3.505874055196281347e+01
5.076450867123995181e+01,4.245704360628719343e+01,-3.506280503117094582e+01
6.794779416539155648e+01,4.207677052040268961e+01,-3.508639811751146453e+01
8.491465008994686059e+01,4.208185800786003483e+01,-3.514509000969126618e+01
1.018927401184119361e+02,4.290942724040020551e+01,-3.520863965898401204e+01
1.935324077476901294e+01,5.391041158248595622e+01,-3.506220989063514537e+01
3.409663128077401240e+01,5.223537405947134005e+01,-3.505710718322912811e+01
5.095079124844692586e+01,5.179382242253447544e+01,-3.506694355171726585e+01
6.790919956633975119e+01,5.156272020717114657e+01,-3.511079843791473820e+01
8.476318750291436288e+01,5.164387144554277143e+01,-3.522003357917893851e+01
1.018601029429176492e+02,5.237041058087813639e+01,-3.536015100312818049e+01
1.367226663474333179e+02,5.156461145636889398e+01,-3.566472799041741837e+01
1.702284740224376236e+01,6.219792695887051792e+01,-3.505754326161500956e+01
3.425495011419378244e+01,6.160894488490237109e+01,-3.505689529321141151e+01
5.104041159272812678e+01,6.139942015576818335e+01,-3.507621945956848464e+01
6.768718185136776810e+01,6.118245188867717843e+01,-3.514667189898978705e+01
